"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"customdeque.ArrayDequePerformanceTest.add","avgt",1,3,32078.216594,4463.290116,"ns/op",10000
"customdeque.ArrayDequePerformanceTest.add","avgt",1,3,57037.719390,1709.810946,"ns/op",20000
"customdeque.ArrayDequePerformanceTest.add","avgt",1,3,87392.794613,35379.864740,"ns/op",30000
"customdeque.ArrayDequePerformanceTest.add","avgt",1,3,121316.474018,69472.954004,"ns/op",40000
"customdeque.ArrayDequePerformanceTest.add","avgt",1,3,173360.717834,322585.446922,"ns/op",50000
"customdeque.ArrayDequePerformanceTest.add","avgt",1,3,170791.615570,6722.853451,"ns/op",60000
"customdeque.ArrayDequePerformanceTest.add","avgt",1,3,192663.178540,30845.477988,"ns/op",70000
"customdeque.ArrayDequePerformanceTest.add","avgt",1,3,236192.393439,21515.831156,"ns/op",80000
"customdeque.ArrayDequePerformanceTest.add","avgt",1,3,259181.068192,82481.452151,"ns/op",90000
"customdeque.ArrayDequePerformanceTest.add","avgt",1,3,288888.349221,211041.005853,"ns/op",100000
"customdeque.ArrayDequePerformanceTest.addAll","avgt",1,3,16936.483683,4929.945394,"ns/op",10000
"customdeque.ArrayDequePerformanceTest.addAll","avgt",1,3,49508.544291,227716.624821,"ns/op",20000
"customdeque.ArrayDequePerformanceTest.addAll","avgt",1,3,51969.983070,36764.782083,"ns/op",30000
"customdeque.ArrayDequePerformanceTest.addAll","avgt",1,3,73055.716564,151784.467813,"ns/op",40000
"customdeque.ArrayDequePerformanceTest.addAll","avgt",1,3,90802.083432,92351.840374,"ns/op",50000
"customdeque.ArrayDequePerformanceTest.addAll","avgt",1,3,107431.196744,21745.332572,"ns/op",60000
"customdeque.ArrayDequePerformanceTest.addAll","avgt",1,3,131394.674300,121337.067235,"ns/op",70000
"customdeque.ArrayDequePerformanceTest.addAll","avgt",1,3,152402.875309,212606.361238,"ns/op",80000
"customdeque.ArrayDequePerformanceTest.addAll","avgt",1,3,177542.155488,352659.583449,"ns/op",90000
"customdeque.ArrayDequePerformanceTest.addAll","avgt",1,3,203137.441952,392718.594289,"ns/op",100000
"customdeque.ArrayDequePerformanceTest.addFirst","avgt",1,3,34811.498721,13626.737292,"ns/op",10000
"customdeque.ArrayDequePerformanceTest.addFirst","avgt",1,3,62492.876298,56771.902981,"ns/op",20000
"customdeque.ArrayDequePerformanceTest.addFirst","avgt",1,3,87815.721253,12947.161910,"ns/op",30000
"customdeque.ArrayDequePerformanceTest.addFirst","avgt",1,3,123454.879547,47043.712284,"ns/op",40000
"customdeque.ArrayDequePerformanceTest.addFirst","avgt",1,3,160451.383020,7982.812119,"ns/op",50000
"customdeque.ArrayDequePerformanceTest.addFirst","avgt",1,3,182970.610144,54192.435710,"ns/op",60000
"customdeque.ArrayDequePerformanceTest.addFirst","avgt",1,3,206665.034537,43809.384758,"ns/op",70000
"customdeque.ArrayDequePerformanceTest.addFirst","avgt",1,3,254401.082511,22921.840377,"ns/op",80000
"customdeque.ArrayDequePerformanceTest.addFirst","avgt",1,3,268369.469656,9257.801362,"ns/op",90000
"customdeque.ArrayDequePerformanceTest.addFirst","avgt",1,3,289072.692996,28767.619048,"ns/op",100000
"customdeque.ArrayDequePerformanceTest.addLast","avgt",1,3,32374.170179,14147.755704,"ns/op",10000
"customdeque.ArrayDequePerformanceTest.addLast","avgt",1,3,59279.869335,21800.324554,"ns/op",20000
"customdeque.ArrayDequePerformanceTest.addLast","avgt",1,3,87458.947090,27231.842168,"ns/op",30000
"customdeque.ArrayDequePerformanceTest.addLast","avgt",1,3,117798.962732,40569.483420,"ns/op",40000
"customdeque.ArrayDequePerformanceTest.addLast","avgt",1,3,155270.479963,48903.913671,"ns/op",50000
"customdeque.ArrayDequePerformanceTest.addLast","avgt",1,3,172897.919825,24809.028807,"ns/op",60000
"customdeque.ArrayDequePerformanceTest.addLast","avgt",1,3,194537.886846,73692.879470,"ns/op",70000
"customdeque.ArrayDequePerformanceTest.addLast","avgt",1,3,244129.756812,138702.858862,"ns/op",80000
"customdeque.ArrayDequePerformanceTest.addLast","avgt",1,3,257046.334692,85947.385638,"ns/op",90000
"customdeque.ArrayDequePerformanceTest.addLast","avgt",1,3,275241.035019,2576.675610,"ns/op",100000
"customdeque.ArrayDequePerformanceTest.clear","avgt",1,3,4543.373935,556.465498,"ns/op",10000
"customdeque.ArrayDequePerformanceTest.clear","avgt",1,3,9094.067079,337.396362,"ns/op",20000
"customdeque.ArrayDequePerformanceTest.clear","avgt",1,3,14347.150700,11679.100056,"ns/op",30000
"customdeque.ArrayDequePerformanceTest.clear","avgt",1,3,18187.051267,416.193329,"ns/op",40000
"customdeque.ArrayDequePerformanceTest.clear","avgt",1,3,23047.454703,8228.318669,"ns/op",50000
"customdeque.ArrayDequePerformanceTest.clear","avgt",1,3,27271.811610,5772.851056,"ns/op",60000
