Size;addFirst(E);addLast(E);getFirst();getLast();removeFirst();removeLast();contains(Object);peekFirst();peekLast();size();isEmpty();clear();toArray();equals(Object);toString();iterator();descendingIterator();addAll(Collection);removeAll(Collection);retainAll(Collection)
10000;1320;1166;73;43;158;145;38282;75;29;37;44;404;3931;63424;701270;375808;313408;351529;740487;358158
20000;104;58;25;28;33;58;6177;25;25;28;45;191;9378;23478;608320;151037;143795;158112;296799;219525
30000;70;74;85;37;54;79;10849;28;24;23;74;241;4780;36832;659525;78175;79466;60754;185604;203850
40000;83;150;44;24;37;62;13373;24;29;37;28;216;5153;47590;619858;26833;28171;65770;233166;231537
50000;116;33;26;30;37;37;15023;27;27;38;34;245;12165;58418;812399;33024;33587;84529;276975;285595
60000;108;75;29;32;20;91;16977;29;25;31;34;295;7370;72080;1136662;40133;40429;105012;337279;350637
70000;162;41;35;30;108;25;20564;27;26;35;34;370;16486;82981;1101654;46279;47049;121312;640900;703712
80000;83;62;44;32;50;58;23330;31;31;39;29;458;29733;94908;1263737;56579;54787;138970;494383;514187
90000;141;37;33;35;37;37;25162;25;57;31;31;379;11025;106541;1331579;59525;61016;158945;388133;525104
100000;112;29;25;127;125;49;28532;33;25;33;33;404;12213;118763;1527679;66754;68008;179487;440074;575929
