Size;addFirst(E);addLast(E);getFirst();getLast();removeFirst();removeLast();contains(Object);peekFirst();peekLast();size();isEmpty();clear();toArray();equals(Object);toString();iterator();descendingIterator();addAll(Collection);removeAll(Collection);retainAll(Collection)
10000;1750;329;74;79;129;112;36426;37;33;67;60;62962;2785;46;942720;303408;365941;329062;24384258;23519899
20000;179;41;59;68;50;37;6210;27;25;51;52;8999;6777;35;660878;134337;133570;133249;96166987;95491275
30000;104;62;133;87;45;41;9514;27;27;29;75;13603;6349;70;692887;79133;68745;75987;207619825;208828737
40000;154;49;44;36;141;37;11882;25;25;36;38;18229;7427;34;663366;32816;31479;94362;383713499;412351191
50000;204;70;74;30;66;58;18668;27;23;40;32;25604;6819;44;970812;46975;44196;135766;696519537;672265187
60000;246;83;33;31;58;45;21958;30;28;42;39;32108;8376;40;1458100;57920;55587;164341;977501766;981615766
70000;233;66;31;32;50;50;25913;29;27;40;36;38191;16912;43;1352158;67445;64504;193020;1294296070;1396295975
80000;166;279;38;37;66;120;31794;37;32;49;43;46900;12144;39;1736141;81483;77416;232229;1732546621;1678596966
90000;170;75;29;35;45;149;34516;29;29;69;40;50029;12393;47;2024499;86808;82666;247520;2207541366;2142680520
100000;179;75;40;32;50;50;34732;30;23;37;41;54162;13805;37;2010166;96358;91333;277129;2840245654;2783734829
