Size;add(E);addFirst(E);addLast(E);offer(E);offerFirst(E);offerLast(E);push(E);addAll(Collection);element();getFirst();getLast();peek();peekFirst();peekLast();contains(Object);containsAll(Collection);size();isEmpty();remove();removeFirst();removeLast();poll();pollFirst();pollLast();pop();remove(Object);removeFirstOccurrence(Object);removeLastOccurrence(Object);removeAll(Collection);retainAll(Collection);clear();toArray();toArray(T[]);toString();equals(Object);iterator();descendingIterator()
10000;2920;525;1991;1545;1274;2608;437;357291;43;51;37;38;38;33;56595;108450;69;68;104;158;108;187;75;679;100;157787;38658;141037;634887;381745;425;6726;18171;920662;85214;532358;404312
20000;145;121;91;120;83;183;112;172787;42;36;35;35;32;36;6594;212198;37;58;66;66;70;104;45;66;96;50229;47016;74196;339900;287862;316;5408;17636;523729;25640;134266;133195
30000;279;70;83;74;70;304;116;59187;35;32;38;40;35;36;9784;55606;40;71;70;58;58;104;104;70;75;26445;28862;71416;199562;141166;374;3427;19898;608583;38982;75204;75691
40000;179;70;87;66;504;224;75;71437;34;37;45;41;39;31;12727;68197;39;47;66;62;29;104;70;62;95;36054;31525;94429;177979;182312;333;5039;31104;618229;48670;27087;27220
50000;41;91;83;79;74;379;79;99291;58;30;31;27;27;27;14290;84104;53;27;75;62;58;112;75;83;70;32245;40462;36624;284945;229558;404;6254;29873;895250;60445;33433;33495
60000;141;79;87;87;41;187;95;105320;31;36;37;30;25;30;16607;96664;45;45;70;41;58;87;74;54;58;58412;50158;53870;252896;270500;337;7492;35658;920741;72534;41233;43858
70000;224;83;87;79;70;174;50;138404;39;150;30;28;24;23;20939;116942;42;41;33;66;58;120;71;37;79;44016;45633;53054;640037;740620;395;16765;42042;1087079;86314;46400;47262
80000;100;58;91;100;283;229;104;146741;39;85;27;28;28;28;25043;127633;46;45;66;74;58;120;62;33;54;71333;69762;41508;362316;380225;445;9891;48164;1344112;95836;73133;75908
90000;191;104;49;104;70;254;121;163295;36;31;33;33;36;30;28635;155387;47;38;37;33;50;91;100;29;58;61708;47737;84862;406779;428991;291;11095;53326;1778429;108503;60283;61262
100000;75;49;45;129;83;204;204;195641;35;30;163;34;31;27;31694;161310;47;49;79;54;46;108;99;58;70;72733;86791;68779;500220;475924;550;13015;73259;1600616;123731;68062;69775
